chrom	start	end	name	simple_name	translated_category	Genoa_score	Genoa_score_1400bp
chr2	66686769	66687072	ZOOHAR.42;2XHAR.49	ZOOHAR.42	positive	0.351404737441528	0.351444668710714
chr2	119129788	119129938	ZOOHAR.43	ZOOHAR.43	positive	0.376926071726538	0.376968004733799
chr2	144477106	144477564	ZOOHAR.44;2XHAR.240;HAR194	ZOOHAR.44	positive	0.321825088628204	0.476050620085286
chr6	50234233	50234462	ZOOHAR.45;2XHAR.81;HAR46	ZOOHAR.45	positive	0.263866679335678	0.26388138524592
chr10	59176560	59176622	ZOOHAR.46	ZOOHAR.46	positive	0.326921817430941	0.577033732880526
chr21	16843407	16843500	ZOOHAR.47;2XHAR.98	ZOOHAR.47	positive	0.263866679335678	0.449445775743839
chr20	728364	728421	ZOOHAR.48;2XHAR.9	ZOOHAR.48	GBGC(hc)	0.293070116371468	0.495412140729568
chr22	20131751	20131820	ZOOHAR.49	ZOOHAR.49	positive	0.269566221554945	0.544682259590766
chr19	56233732	56233867	ZOOHAR.50	ZOOHAR.50	positive	0.263817477830883	0.241727439093666
chr8	20819319	20819538	ZOOHAR.51	ZOOHAR.51	GBGC &
positive	0.362213681790647	0.51528770097966
chr8	56565756	56565839	ZOOHAR.52	ZOOHAR.52	positive	0.263866679335678	0.286190210272765
chr5	107660077	107660127	ZOOHAR.53	ZOOHAR.53	positive	0.394770190037826	0.496612414424262
chr13	76489391	76489487	ZOOHAR.54;2XHAR.293	ZOOHAR.54	positive	0.351404737441528	0.582137204120205
chr17	33539267	33539319	ZOOHAR.55	ZOOHAR.55	positive	0.297737800977187	0.32858586911788
chr4	24303371	24303741	ZOOHAR.56;2XHAR.363	ZOOHAR.56	positive	0.263866679335678	0.280187555654052
chr18	64354116	64354212	ZOOHAR.57;2XHAR.432	ZOOHAR.57	positive	0.263866679335678	0.273043860592874
chr4	181660275	181660712	ZOOHAR.58;2XHAR.30;HAR85	ZOOHAR.58	positive	0.293098129486588	0.447188800039252
chr1	195935304	195935391	ZOOHAR.59	ZOOHAR.59	positive	0.290869638916338	0.305713742992435
chrX	136281875	136281967	ZOOHAR.60	ZOOHAR.60	positive	0.261680161592835	0.253308573027372
chr18	41886209	41886462	ZOOHAR.61	ZOOHAR.61	GBGC &
positive	0.275989266682956	0.565020906366969
chr15	97712735	97712794	ZOOHAR.62;2XHAR.8	ZOOHAR.62	positive	0.266670685500527	0.27366486386733
chr9	16946842	16946892	ZOOHAR.63	ZOOHAR.63	positive	0.263866679335678	0.266688659333981
chr17	65538547	65538667	ZOOHAR.64;2XHAR.168	ZOOHAR.64	positive	0.263811272653749	0.542572251643863
chr11	12817772	12817899	ZOOHAR.65	ZOOHAR.65	positive	0.231371667665826	0.23289504312077
chr9	110366177	110366233	ZOOHAR.66	ZOOHAR.66	positive	0.263866679335678	0.26388138524592
chr17	73382661	73382719	ZOOHAR.67	ZOOHAR.67	GBGC	0.258400801206386	0.237680690325771
chr3	174314313	174314382	ZOOHAR.68;2XHAR.443	ZOOHAR.68	positive	0.263866679335678	0.276318110960602
chr7	107002280	107002411	ZOOHAR.69	ZOOHAR.69	GBGC	0.25535667248536	0.251145228968319
chr11	15361772	15362185	ZOOHAR.70	ZOOHAR.70	GBGC &
positive	0.291403240485613	0.445102051463368
chr8	38380653	38380744	ZOOHAR.71;2XHAR.15	ZOOHAR.71	positive	0.283222931652229	0.533031122723099
chr1	38789476	38789645	ZOOHAR.72	ZOOHAR.72	positive	0.335931661558956	0.463475466546313
chr2	22236709	22236773	ZOOHAR.73	ZOOHAR.73	positive	0.263866679335678	0.26388138524592
chr21	33187693	33187779	ZOOHAR.74	ZOOHAR.74	positive	0.292641301521918	0.391898004142142
chr10	112586050	112586129	ZOOHAR.75	ZOOHAR.75	positive	0.404106503249477	0.53915888801191
chr17	47119431	47119715	ZOOHAR.76	ZOOHAR.76	positive	0.434719583808244	0.50299803775987
chr15	97602874	97602926	ZOOHAR.77;HAR195	ZOOHAR.77	positive	0.27078800318686	0.27366486386733
chr1	80990486	80990543	ZOOHAR.78	ZOOHAR.78	positive	0.233273129233477	0.260757452544841
chr9	1201910	1202047	ZOOHAR.79	ZOOHAR.79	GBGC(hc)	0.27078800318686	0.272052194983664
chr11	21249987	21250301	ZOOHAR.80	ZOOHAR.80	positive	0.27473970677268	0.328790624142551
chr10	101966894	101967007	ZOOHAR.81;2XHAR.511	ZOOHAR.81	positive	0.263866679335678	0.22638187294947
chr12	57133425	57133539	ZOOHAR.82	ZOOHAR.82	positive	0.406634766908776	0.413024688354578
chr1	193861230	193861293	ZOOHAR.83	ZOOHAR.83	positive	0.263866679335678	0.249657113066899
chr2	79960483	79960543	ZOOHAR.84	ZOOHAR.84	positive	0.263866679335678	0.276259762525641
chr10	189086	189192	ZOOHAR.85	ZOOHAR.85	GBGC &
positive	0.228399462438774	0.269691947103176
chr15	36099366	36099657	ZOOHAR.86;2XHAR.31;HAR18	ZOOHAR.86	GBGC(hc)	0.358976558008999	0.406560171370058
chr5	30747845	30748084	ZOOHAR.87	ZOOHAR.87	GBGC &
positive	0.285832175437967	0.348792750614688
chr11	11352028	11352087	ZOOHAR.88	ZOOHAR.88	positive	0.22716362932969	0.19510506894879
chr11	35623243	35623306	ZOOHAR.89;2XHAR.506	ZOOHAR.89	positive	0.218928331761335	0.269496349453777
chr14	21081667	21081744	ZOOHAR.90	ZOOHAR.90	positive	0.263866679335678	0.26388138524592
chr1	35747987	35748135	ZOOHAR.91	ZOOHAR.91	positive	0.324856743743531	0.3158763674736
chr10	132786351	132786439	ZOOHAR.92	ZOOHAR.92	positive	0.294427049706529	0.449348292280097
chr15	57751673	57751815	ZOOHAR.93	ZOOHAR.93	positive	0.332603485774064	0.606945425243934
chr4	63349324	63349424	ZOOHAR.94	ZOOHAR.94	positive	0.263866679335678	0.28466366546162
chr22	45197070	45197137	ZOOHAR.95	ZOOHAR.95	positive	0.263866679335678	0.33754389039263
chr4	156770998	156771070	ZOOHAR.96	ZOOHAR.96	positive	0.342474701843807	0.62692755030317
chr2	163310434	163310617	ZOOHAR.97;2XHAR.239	ZOOHAR.97	positive	0.263866679335678	0.263364487578325
chr3	76365380	76365546	ZOOHAR.98;2XHAR.127	ZOOHAR.98	positive	0.339746216839121	0.377148613518268
chr3	56003086	56003236	ZOOHAR.99	ZOOHAR.99	positive	0.46492011507234	0.548240113152469
chr9	2050812	2050930	ZOOHAR.100;2XHAR.144	ZOOHAR.100	positive	0.263866679335678	0.269263294439977
chr15	59945817	59946084	ZOOHAR.101	ZOOHAR.101	positive	0.331919916941634	0.541040813294555
chr5	3778165	3778229	ZOOHAR.102;2XHAR.138;HAR29	ZOOHAR.102	positive	0.350481835160144	0.37926072812525
chr2	79950349	79950473	ZOOHAR.103	ZOOHAR.103	positive	0.280247359925907	0.404059557295753
chr15	36673092	36673507	ZOOHAR.104	ZOOHAR.104	GBGC(hc)	0.354440851497305	0.485450207964782
chr6	114450527	114450583	ZOOHAR.105	ZOOHAR.105	positive	0.264654436680858	0.553009765746979
chr15	96648925	96649028	ZOOHAR.106;2XHAR.258	ZOOHAR.106	positive	0.263866679335678	0.26924192973039
chr4	148080699	148080783	ZOOHAR.107	ZOOHAR.107	positive	0.263866679335678	0.21061402193886
chr18	78375404	78375563	ZOOHAR.108	ZOOHAR.108	positive	0.263866679335678	0.404623646679288
chr5	113433307	113433395	ZOOHAR.109	ZOOHAR.109	positive	0.263866679335678	0.297078618478432
chr3	133077538	133077637	ZOOHAR.110	ZOOHAR.110	positive	0.266505837180625	0.268574466908445
chr18	35581701	35581856	ZOOHAR.111	ZOOHAR.111	positive	0.287679203091312	0.494280153132779
chr5	56676285	56676433	ZOOHAR.112	ZOOHAR.112	positive	0.225585841436941	0.373541389339797
chr13	100636708	100636759	ZOOHAR.113	ZOOHAR.113	GBGC &
positive	0.297737800977187	0.48325376945907
chr13	88107522	88107588	ZOOHAR.114	ZOOHAR.114	positive	0.302003595231767	0.381469338451274
chr14	44225856	44225907	ZOOHAR.115	ZOOHAR.115	positive	0.239919037337011	0.280827976706999
chr17	10920926	10920979	ZOOHAR.116	ZOOHAR.116	positive	0.26807405025079	0.291782201572832
chr13	31732767	31732882	ZOOHAR.117	ZOOHAR.117	positive	0.308247435046299	0.305731791396722
chr14	33661122	33661911	ZOOHAR.118;2XHAR.223	ZOOHAR.118	GBGC &
positive	0.373395119678488	0.426221988017967
chr15	95550501	95550610	ZOOHAR.119;HAR147	ZOOHAR.119	positive	0.253407831413088	0.258220637585324
chr14	32641925	32642197	ZOOHAR.120	ZOOHAR.120	positive	0.263866679335678	0.278312537973664
chr2	206471797	206471872	ZOOHAR.121	ZOOHAR.121	positive	0.263995602072372	0.292857654252103
chr12	16018041	16018163	ZOOHAR.122;2XHAR.447	ZOOHAR.122	positive	0.309308524668272	0.528744056521097
chr2	174108989	174109077	ZOOHAR.123	ZOOHAR.123	positive	0.263866679335678	0.430583795038438
chr17	2983316	2983805	ZOOHAR.124	ZOOHAR.124	GBGC &
positive	0.223336832752337	0.197642498933448
chr11	97339183	97339239	ZOOHAR.125	ZOOHAR.125	positive	0.263866679335678	0.276205886334298
chr3	109923914	109923970	ZOOHAR.126	ZOOHAR.126	GBGC &
positive	0.237007097193977	0.449670959258672
chr15	61755053	61755270	ZOOHAR.127;HAR136	ZOOHAR.127	positive	0.266670685500527	0.334612374366017
chr15	88989100	88989152	ZOOHAR.128	ZOOHAR.128	positive	0.29632951614636	0.325183809178648
chr1	38222238	38222549	ZOOHAR.129;2XHAR.177	ZOOHAR.129	positive	0.351404737441528	0.33178067156265
chr19	29812386	29812480	ZOOHAR.130	ZOOHAR.130	positive	0.29110691517134	0.465173106593665
chr6	124800528	124800683	ZOOHAR.131	ZOOHAR.131	positive	0.37285484627743	0.697119830586127
chr3	197375100	197375175	ZOOHAR.132	ZOOHAR.132	positive	0.264783605864928	0.257002395501914
chr5	107116971	107117045	ZOOHAR.133	ZOOHAR.133	positive	0.395738658748798	0.474268405618944
chr11	133663909	133663991	ZOOHAR.134	ZOOHAR.134	GBGC(hc)	0.358067109323392	0.401054776128583
chr3	66839522	66839582	ZOOHAR.135	ZOOHAR.135	positive	0.263866679335678	0.228399484063178
chr18	41339148	41339294	ZOOHAR.136	ZOOHAR.136	positive	0.285578179715453	0.319323781687985
chr8	98852840	98852975	ZOOHAR.137	ZOOHAR.137	positive	0.269923216146822	0.270532189044108
chr2	118309694	118310002	ZOOHAR.138;2XHAR.20;HAR19;HAR80	ZOOHAR.138	GBGC &
positive	0.52835248572812	0.725612248817009
chr1	44274075	44274540	ZOOHAR.139;2XHAR.492	ZOOHAR.139	positive	0.285832175437967	0.375519982875239
chr6	67833703	67833777	ZOOHAR.140	ZOOHAR.140	positive	0.365767117009536	0.420059152263291
chr8	115705131	115705318	ZOOHAR.141;2XHAR.398	ZOOHAR.141	positive	0.28826476160888	0.291239791775233
chr7	1237452	1237509	ZOOHAR.142;2XHAR.149	ZOOHAR.142	positive	0.257751910825691	0.533962834584059
chrX	24930840	24930978	ZOOHAR.143;HAR45	ZOOHAR.143	positive	0.351404737441528	0.357719588309474
chr14	81681484	81681639	ZOOHAR.144	ZOOHAR.144	positive	0.448177513877795	0.537748880542694
chr4	84001831	84001915	ZOOHAR.145;2XHAR.68	ZOOHAR.145	positive	0.394770190037826	0.517031187720811
chr2	158765725	158765789	ZOOHAR.146	ZOOHAR.146	positive	0.263866679335678	0.22640814497512
chr14	33792601	33792837	ZOOHAR.147;2XHAR.122	ZOOHAR.147	GBGC(hc)	0.433553124557965	0.585698582947132
chr20	53003720	53003856	ZOOHAR.148;2XHAR.413	ZOOHAR.148	positive	0.505154324011425	0.600241506362867
chr14	33456000	33456218	ZOOHAR.149	ZOOHAR.149	positive	0.228399462438774	0.387123310033426
chr6	38391862	38391919	ZOOHAR.150	ZOOHAR.150	GBGC(hc)	0.444814194123628	0.53653525975592
chr5	125049964	125050142	ZOOHAR.151	ZOOHAR.151	GBGC	0.263866679335678	0.374710939748149
chr1	62918642	62919059	ZOOHAR.152	ZOOHAR.152	positive	0.39912920339432	0.399187412521916
chr12	53993890	53994067	ZOOHAR.153	ZOOHAR.153	positive	0.263995602072372	0.268847768650749
chr22	26814683	26814802	ZOOHAR.154;2XHAR.245	ZOOHAR.154	positive	0.263866679335678	0.263518038019807
chr4	179749028	179749270	ZOOHAR.155;HAR39	ZOOHAR.155	positive	0.263866679335678	0.26388138524592
chr9	125922788	125923147	ZOOHAR.156;HAR64	ZOOHAR.156	positive	0.323219789465667	0.324911761263368
chr2	74529451	74529502	ZOOHAR.157	ZOOHAR.157	positive	0.283222931652229	0.492776568297408
chr18	25194992	25195066	ZOOHAR.158	ZOOHAR.158	positive	0.263866679335678	0.328890784027894
chr9	106431231	106431380	ZOOHAR.159;2XHAR.102	ZOOHAR.159	positive	0.263866679335678	0.260789820773325
chr2	176879727	176879957	ZOOHAR.160;2XHAR.71;HAR13	ZOOHAR.160	positive	0.263866679335678	0.272354816066643
chr2	44717573	44717669	ZOOHAR.161;2XHAR.391	ZOOHAR.161	positive	0.263866679335678	0.26388138524592
chr10	1667624	1667705	ZOOHAR.162	ZOOHAR.162	positive	0.263866679335678	0.394687867208955
chr10	123514171	123514337	ZOOHAR.163;2XHAR.419	ZOOHAR.163	positive	0.384223179930109	0.540154028950167
chr5	131954010	131954063	ZOOHAR.164	ZOOHAR.164	positive	0.263995602072372	0.328616504724297
chr7	115729319	115729420	ZOOHAR.165;2XHAR.57	ZOOHAR.165	GBGC(hc)	0.263866679335678	0.277975046799178
chr20	62929889	62929941	ZOOHAR.166	ZOOHAR.166	positive	0.431386176035728	0.389176649967725
chr11	128476960	128477057	ZOOHAR.167;2XHAR.384	ZOOHAR.167	GBGC(hc)	0.265333870417932	0.267047093346389
chr20	11877622	11877842	ZOOHAR.168;2XHAR.458	ZOOHAR.168	positive	0.263866679335678	0.254848860260155
chr3	50381521	50381623	ZOOHAR.169	ZOOHAR.169	positive	0.268202923669538	0.236307248382582
chr11	116693780	116693852	ZOOHAR.170	ZOOHAR.170	positive	0.283985198171067	0.313353049229778
chr3	170953897	170954119	ZOOHAR.171	ZOOHAR.171	None	0.287454894205591	0.427554254742725
chr16	66042607	66042674	ZOOHAR.172	ZOOHAR.172	positive	0.263866679335678	0.394750713524019
chr12	113561243	113561437	ZOOHAR.173;2XHAR.256	ZOOHAR.173	positive	0.416102428280501	0.433163058728393
chr12	54017405	54017493	ZOOHAR.174	ZOOHAR.174	positive	0.362073419774404	0.654444369040292
chr6	98826638	98826745	ZOOHAR.175	ZOOHAR.175	positive	0.294427049706529	0.533381387080783
chr1	28063974	28064067	ZOOHAR.176	ZOOHAR.176	positive	0.228075260833575	0.270038603882508
chr3	158058408	158059059	ZOOHAR.177	ZOOHAR.177	positive	0.351089582615659	0.354377634131717
chr6	149236657	149236759	ZOOHAR.178	ZOOHAR.178	positive	0.297737800977187	0.352027340657975
chr16	78325328	78325746	ZOOHAR.179;2XHAR.383;HAR6	ZOOHAR.179	positive	0.642533876090565	0.658923332532266
chr5	165305585	165305771	ZOOHAR.180;HAR41	ZOOHAR.180	positive	0.27078800318686	0.270811274650954
chr2	80640586	80640659	ZOOHAR.181	ZOOHAR.181	positive	0.263866679335678	0.250049238871274
chr1	87356242	87356501	ZOOHAR.182	ZOOHAR.182	positive	0.280636102459143	0.677462428360343
chr11	27729007	27729121	ZOOHAR.183	ZOOHAR.183	positive	0.263866679335678	0.255943514475133
chr4	137864019	137864216	ZOOHAR.184;2XHAR.167;HAR110	ZOOHAR.184	positive	0.273638219168214	0.280696337062765
chr3	29427580	29427653	ZOOHAR.185	ZOOHAR.185	positive	0.248408810673884	0.316926138231254
chr12	17786372	17786578	ZOOHAR.186	ZOOHAR.186	positive	0.274931683162673	0.292571208501391
chr5	121196370	121196905	ZOOHAR.187	ZOOHAR.187	positive	0.23591632477281	0.245822938152776
chr13	59510956	59511042	ZOOHAR.188	ZOOHAR.188	GBGC(hc)	0.263866679335678	0.382296240240013
chr20	31837426	31837494	ZOOHAR.189;2XHAR.114	ZOOHAR.189	positive	0.435942109065997	0.384649161925022
chr6	38625252	38625425	ZOOHAR.190	ZOOHAR.190	positive	0.263866679335678	0.388342663815211
chr3	174720695	174720926	ZOOHAR.191	ZOOHAR.191	positive	0.354842670219548	0.409949603437581
chr9	24451487	24451727	ZOOHAR.192;HAR109	ZOOHAR.192	positive	0.263866679335678	0.26388138524592
chr13	111607641	111607717	ZOOHAR.193	ZOOHAR.193	positive	0.285578179715453	0.303129169964223
chr7	132112792	132112884	ZOOHAR.194	ZOOHAR.194	GBGC &
positive	0.391518175179693	0.490354288047508
chrX	71811070	71811286	ZOOHAR.195	ZOOHAR.195	positive	0.256998932375057	0.246535221568407
chr8	42241151	42241213	ZOOHAR.196	ZOOHAR.196	positive	0.263830885765543	0.254458879863788
chr1	60175750	60176001	ZOOHAR.197	ZOOHAR.197	positive	0.296923850842605	0.297068867829484
chr4	151583497	151583665	ZOOHAR.198	ZOOHAR.198	positive	0.297394134862912	0.411702819345171
chr13	96809218	96809307	ZOOHAR.199	ZOOHAR.199	positive	0.263866679335678	0.26388138524592
chr17	2983230	2983315	ZOOHAR.200	ZOOHAR.200	positive	0.240907572539256	0.218084188142733
chr1	3169939	3170064	ZOOHAR.201	ZOOHAR.201	positive	0.405813677290877	0.633773706906334
chr14	104478237	104478340	ZOOHAR.202	ZOOHAR.202	positive	0.284871252176926	0.344690840129366
chr5	107147678	107147809	ZOOHAR.203	ZOOHAR.203	positive	0.429108581810614	0.479176902301392
chr1	82755214	82755281	ZOOHAR.204;2XHAR.59	ZOOHAR.204	positive	0.328964255176248	0.341798394108627
chr5	107417703	107417897	ZOOHAR.205	ZOOHAR.205	positive	0.275195467896744	0.307577396561061
chr6	50956439	50956587	ZOOHAR.206;2XHAR.126	ZOOHAR.206	positive	0.263866679335678	0.270987023411429
chr18	56059178	56059445	ZOOHAR.207	ZOOHAR.207	GBGC(hc)	0.281068911728426	0.269300903437875
chr20	42896911	42897159	ZOOHAR.208;HAR9	ZOOHAR.208	positive	0.317439838899759	0.327144287662604
chr7	1230026	1230202	ZOOHAR.209	ZOOHAR.209	positive	0.298243566614739	0.73073041877362
chr13	64769752	64769863	ZOOHAR.210	ZOOHAR.210	positive	0.283378418947306	0.346960378997607
chr9	16682419	16682610	ZOOHAR.211	ZOOHAR.211	GBGC(hc)	0.346184721467605	0.34909510333227
chr1	46278109	46278161	ZOOHAR.212	ZOOHAR.212	positive	0.263866679335678	0.223042823760776
chr13	71767518	71767638	ZOOHAR.213;HAR137	ZOOHAR.213	positive	0.263866679335678	0.354216740865261
chr2	45532206	45532506	ZOOHAR.214	ZOOHAR.214	positive	0.305543495207215	0.350554632530132
chr13	59585372	59585457	ZOOHAR.215;2XHAR.476	ZOOHAR.215	positive	0.350481835160144	0.492459231774343
chr2	163800576	163801324	ZOOHAR.216	ZOOHAR.216	positive	0.493040933075412	0.54459473394251
chr22	46845334	46845468	ZOOHAR.217;2XHAR.186;HAR33	ZOOHAR.217	positive	0.389786937787084	0.47166329182987
chr9	23140028	23140246	ZOOHAR.218	ZOOHAR.218	positive	0.266505837180625	0.331234815828193
chr11	128683952	128684040	ZOOHAR.219;2XHAR.415	ZOOHAR.219	positive	0.263866679335678	0.344712589998348
chr9	12468729	12468850	ZOOHAR.220	ZOOHAR.220	positive	0.219285579140845	0.325910535441125
chr19	31889607	31889800	ZOOHAR.221	ZOOHAR.221	GBGC	0.263866679335678	0.26013061296312
chr4	74155684	74156074	ZOOHAR.222	ZOOHAR.222	positive	0.263866679335678	0.25286956519595
chr2	147844672	147844749	ZOOHAR.223	ZOOHAR.223	positive	0.287881040127997	0.319479781986359
chr11	118925621	118925731	ZOOHAR.224;2XHAR.62	ZOOHAR.224	positive	0.297260256811398	0.643959050589007
chr1	44416189	44416308	ZOOHAR.225	ZOOHAR.225	positive	0.351404737441528	0.354734571137595
chr9	24712388	24712658	ZOOHAR.226	ZOOHAR.226	positive	0.289599798578699	0.294196573442681
chr18	44290969	44291071	ZOOHAR.227	ZOOHAR.227	positive	0.27078800318686	0.558311402331747
chr4	86778461	86778532	ZOOHAR.228	ZOOHAR.228	positive	0.262319216540973	0.436648192069269
chr5	106204356	106204470	ZOOHAR.229	ZOOHAR.229	positive	0.263866679335678	0.26388138524592
chr9	80381760	80381840	ZOOHAR.230	ZOOHAR.230	positive	0.30186372391422	0.346940483465958
chr4	181661752	181661803	ZOOHAR.231	ZOOHAR.231	positive	0.240125381543939	0.258294140133556
chr3	193702160	193702247	ZOOHAR.232;2XHAR.531	ZOOHAR.232	positive	0.448777583537553	0.506514983395953
chr9	2081746	2081802	ZOOHAR.233	ZOOHAR.233	positive	0.276983184197445	0.300063857499658
chr9	3650581	3650778	ZOOHAR.234;2XHAR.302	ZOOHAR.234	positive	0.269327627754805	0.332836624830001
chr3	107990203	107990326	ZOOHAR.235	ZOOHAR.235	positive	0.228399462438774	0.258398695657758
chr4	23874105	23874208	ZOOHAR.236;2XHAR.287;HAR20	ZOOHAR.236	positive	0.351404737441528	0.459692520369413
chr9	8863199	8863282	ZOOHAR.237	ZOOHAR.237	None	0.304838786387563	0.337928908229486
chr20	61191366	61191496	ZOOHAR.238	ZOOHAR.238	None	0.250133865936531	0.308904180804865
chr12	16084021	16084145	ZOOHAR.239	ZOOHAR.239	positive	0.407491781107565	0.486669573121119
chr2	143532102	143532198	ZOOHAR.240	ZOOHAR.240	GBGC(hc)	0.308858995093543	0.310968967368355
chr3	60940089	60940275	ZOOHAR.241;2XHAR.220;HAR10	ZOOHAR.241	positive	0.263866679335678	0.373205719609247
chr10	8504900	8505078	ZOOHAR.242;2XHAR.132	ZOOHAR.242	GBGC(hc)	0.376926071726538	0.456744119954801
chr3	68922634	68922720	ZOOHAR.243;2XHAR.104	ZOOHAR.243	GBGC &
positive	0.263866679335678	0.26388138524592
chr5	175839988	175840055	ZOOHAR.244	ZOOHAR.244	positive	0.263866679335678	0.24315956504834
chr11	76034883	76034984	ZOOHAR.245	ZOOHAR.245	positive	0.234910274398667	0.288841895285954
chr3	184259202	184259323	ZOOHAR.246	ZOOHAR.246	positive	0.269493580215465	0.348132199033681
chr5	61737786	61738336	ZOOHAR.247	ZOOHAR.247	positive	0.385320484818731	0.731205304125869
chr2	118182693	118183227	ZOOHAR.248	ZOOHAR.248	positive	0.356756077345618	0.386330883481356
chr2	191859142	191859199	ZOOHAR.249;2XHAR.158	ZOOHAR.249	positive	0.282300525482795	0.330763070318033
chr15	37220225	37220293	ZOOHAR.250	ZOOHAR.250	positive	0.263866679335678	0.469164600699304
chr18	61629524	61629628	ZOOHAR.251;2XHAR.16	ZOOHAR.251	positive	0.263866679335678	0.249647692432554
chr13	76592553	76592726	ZOOHAR.252	ZOOHAR.252	positive	0.211146668617543	0.199878678557906
chr6	9453676	9453732	ZOOHAR.253;2XHAR.479	ZOOHAR.253	positive	0.351404737441528	0.517473767397431
